rank,school,headshot,position,college_year,first_name,last_name,team_33rd,br,buzz,cbs,drafttek,espn,nbc,nfl,pff,ringer,tankathon,usa,walter,yahoo,std_dev,avg
174,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005349-4d36-0678-3e3e-c61679fe28bd",LB,SR.,Cody,Simon,–,206,131,213,182,131,–,87,187,–,–,–,–,–,43.6,160.5
175,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d55-4c62-3816-89a3-f5e866731337",RB,SR.,Kalel,Mullings,–,–,165,168,172,179,–,230,162,–,–,139,–,147,26.2,168.56
176,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200494e-4768-2089-a65d-5f51e00746c2",IDL,JR.,Tyrion,Ingram-Dawkins,–,232,194,193,193,106,–,111,156,–,–,232,–,–,47.9,172.33
177,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005452-4150-2235-af3b-dcfbbb137c45",OT,SR.,Jalen,Travis,127,185,292,99,230,165,–,288,193,–,152,143,–,–,61.8,186.73
178,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d49-4c71-8484-5505-140b187be8b2",IDL,SR.,Rylie,Mills,–,164,136,201,211,157,–,152,183,–,–,246,–,–,36.4,181.25
179,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004841-4e07-2674-a62a-bb5417cce048",CB,SR.,Jordan,Hancock,–,215,221,141,113,251,–,200,147,–,155,224,–,–,46.1,189.1
180,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d41-5226-2884-e765-cb430266e649",RB,SR.,Woody,Marks,–,124,195,384,161,166,–,138,229,–,–,247,115,144,79.5,183.82
181,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004a41-4305-6990-5a4c-a1a8981df3fe",IDL,SR.,Cam'Ron,Jackson,192,–,237,207,186,184,–,90,131,–,–,–,145,–,44.5,174.11
182,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d4f-4e11-6385-d542-4b47928ce72b",RB,SR.,Kyle,Monangai,180,148,217,170,209,197,–,290,188,–,–,174,–,146,41.6,187.91
183,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200524f-4713-5448-a956-3bc00506d75d",OT,SR.,Caleb,Rogers,108,137,204,187,289,181,–,169,–,–,–,179,118,–,51.4,172.3
184,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004649-4439-6877-94de-0250253c24e7",TE,JR.,Thomas,Fidone II,122,142,205,203,234,212,–,136,184,–,–,–,–,–,41.2,179.75
185,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004252-4f16-8325-38e7-d7fab363c600",RB,SR.,Tahj,Brooks,193,–,201,150,214,201,–,212,217,–,–,160,–,134,31.8,182.8
186,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004c41-4d76-6781-4f0d-57a87b01c841",C,SR.,Willie,Lampkin,–,218,180,267,228,206,–,185,145,–,–,184,124,–,54.8,204.6
187,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005448-4f80-1699-da64-33f3c8b0bd34",WR,SR.,Dont'e,Thornton Jr.,–,120,184,174,158,–,–,106,178,–,–,–,–,–,42.9,165
188,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200574f-4f66-2980-96c6-36b32e94386d",S,SR.,Craig,Woodson,156,119,224,210,130,–,–,172,159,–,–,–,–,–,43.3,175.75
189,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005745-4210-5786-84f1-686bf32985f0",OG,SR.,Clay,Webb,–,203,197,133,243,159,–,196,264,–,–,133,–,–,46.6,186.67
190,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d4f-4e21-6915-9577-526611a2e134",C,SR.,Jonah,Monheim,–,182,175,291,168,152,–,341,198,–,154,213,113,–,72.4,208.27
191,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004c41-4337-5737-332b-49b3eb218fa0",TE,SR.,Luke,Lachey,196,183,211,308,165,189,–,201,237,–,–,177,146,–,49.1,208.64
192,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004e45-4c48-6278-b09f-28c95c4bf3c2",OT,SR.,Jack,Nelson,–,212,181,221,163,171,–,198,210,–,–,183,–,–,21,192.38
193,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004449-4b18-9231-a177-a769ad8ba0d2",WR,SR.,Chimere,Dike,–,–,104,246,222,114,–,171,225,–,–,–,134,–,63.8,185.88
194,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d49-4374-6634-c2be-3d6de9c1ffad",S,SR.,R.J.,Mickens,–,134,218,160,292,216,–,135,108,–,–,–,–,–,63.4,187.88
195,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200444f-5428-5923-9769-f1473d2a5e07",CB,SR.,Mello,Dotson,–,159,137,184,210,263,–,346,128,–,–,122,–,–,73.9,198.11
196,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004e41-5338-4527-25f6-56e5009325dd",WR,SR.,Nick,Nash,–,162,153,250,270,242,–,98,199,–,–,181,–,–,54.5,191.89
197,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004652-4183-9846-4154-d301ea85e1e9",CB,SR.,Zah,Frazier,117,250,–,69,108,–,–,145,189,–,131,202,–,–,56.6,146.67
198,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004741-4472-7534-60e1-93967e881273",TE,RS JR.,Oronde,Gadsden II,186,201,196,169,180,219,–,222,248,–,–,208,–,–,23.4,204.8
199,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005049-4530-1658-ad91-2f7a7a787804",OT,SR.,Hollin,Pierce,–,–,139,225,160,180,–,176,250,–,–,189,–,–,37.9,188.43
200,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d41-5268-5763-ad0b-66ba71852538",LB,RS JR.,Nick,Martin,135,–,280,197,192,207,–,211,287,–,–,209,86,–,59.2,199.6
201,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004841-5706-0991-3db0-4aa9a5a35e4b",TE,SR.,Jackson,Hawes,121,223,260,220,354,142,–,150,177,–,–,223,–,–,67.5,209.1
202,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005255-4358-1405-9fb8-24bcc82ed1b6",ED,SR.,Kaimon,Rucker,187,202,154,177,199,194,–,343,141,–,–,–,–,–,61.9,199.63
203,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d41-4a40-8915-a5c0-eceb0760d9b8",C,SR.,Jake,Majors,174,–,133,263,187,290,–,155,222,–,–,191,–,–,61.2,213.67
204,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005649-4e56-0679-5c8d-da2cbc83a858",OT,JR.,Carson,Vinson,116,209,233,175,253,134,–,237,297,–,–,244,–,–,58.8,210.89
205,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004b4f-4e23-0717-22bb-6f8fd7cdc893",CB,SR.,Bilhal,Kone,–,221,238,88,213,217,–,149,–,–,–,175,–,–,52.8,185.86
206,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004449-4718-9645-d42d-c081532be35e",ED,SR.,Fadil,Diggs,–,–,242,231,185,186,–,276,253,–,–,195,64,–,65.6,204
207,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004845-4d23-3360-ee60-e70114e9f825",IDL,SR.,Tonka,Hemingway,–,–,261,152,225,202,–,219,172,–,–,–,114,–,45.9,192
208,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004752-4170-2227-7356-7f8f75f78acb",OG,SR.,Joshua,Gray,–,247,209,188,190,208,–,159,261,–,–,227,–,–,39.1,203.22
209,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004b45-4e03-6858-2039-398efc40a73c",C,RS JR.,Drew,Kendall,–,170,193,274,235,145,–,216,302,–,150,240,–,–,61.4,203.2
210,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005741-4c52-3415-6b99-d18907b31bc4",CB,SR.,Justin,Walley,–,192,319,134,392,287,–,206,–,–,129,84,69,–,111.1,201.33
211,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d43-5749-3398-68cb-69d9d9d0b102",CB,SR.,Mac,McWilliams,199,230,246,179,223,209,–,187,268,–,–,219,–,–,29.6,221.9
212,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004849-4722-6102-1624-b21189e2f7bc",LB,SR.,Jay,Higgins,176,178,206,233,169,285,–,366,224,–,–,129,–,–,67.6,221.2
213,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004b41-4e06-9215-1aa9-f9c8e2e984f3",OG,SR.,Luke,Kandra,–,236,156,228,198,229,–,345,163,–,–,168,–,–,61.5,208
214,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004a41-4d59-2520-7cc7-2ea293c03c33",LB,JR.,Shemar,James,125,–,248,282,173,154,–,253,291,–,–,–,129,–,66,202.11
215,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004352-4f50-6081-a229-4a11169252d5",DT,SR.,Howard,Cross III,149,237,227,158,247,175,–,335,295,–,–,167,–,–,64.8,221.11
216,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200574f-4847-4618-e40c-f8f36a83fa74",S,SR.,Hunter,Wohler,–,205,264,257,142,203,–,266,232,–,–,–,135,–,52.1,213
217,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d43-4360-2342-cc78-736937811559",WR,SR.,Bru,McCoy,–,145,266,226,318,191,–,168,292,–,–,–,106,–,72.9,221.22
218,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004352-4169-1586-ee74-fe39141058f7",S,SR.,Kitan,Crawford,172,153,250,300,205,–,–,217,241,–,–,155,–,–,51.3,211.63
219,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004c41-4d54-4943-5877-584673e6154b",WR,SR.,KeAndre,Lambert-Smith,–,–,200,200,255,–,–,192,190,–,–,–,95,–,51.9,188.67
220,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004455-4d12-2483-141a-e88c1d930642",LB,SR.,Jamon,Dumas-Johnson,–,222,252,164,119,232,–,365,244,–,139,–,–,–,78,217.13
221,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005052-4150-3598-ce14-97ba351041b0",WR,SR.,Kaden,Prather,–,220,279,266,285,239,–,368,208,–,–,117,75,–,88.9,228.56
222,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200534d-4939-0278-5197-ec678009c1ef",CB,SR.,Jaylin,Smith,–,229,262,93,280,151,–,278,220,–,–,–,–,–,70.2,216.14
223,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200464f-5278-5489-a45a-63a1cc4a7f21",CB,SR.,O'Donnell,Fortune,–,248,155,205,177,241,–,314,179,–,–,–,–,–,58.6,227.38
224,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200524f-5526-6938-2bf5-3db923fa6a15",QB,SR.,Kurtis,Rourke,–,235,141,323,203,252,–,289,201,–,–,–,–,130,63.1,219.89
225,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200434f-4c06-9214-e68b-4d4ee96d1732",OG,SR.,Connor,Colby,165,211,185,219,248,248,–,404,182,–,–,237,–,–,70.6,240.6
226,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004c4f-4e67-9052-5c43-02f0f91d4f56",CB,SR.,Robert,Longerbeam,–,219,226,190,264,284,–,291,150,–,–,214,–,–,48.1,229.75
227,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004241-5475-9312-9225-c94ad5ee5df2",ED,SR.,Tyler,Batty,185,–,243,242,179,247,–,379,118,–,–,220,–,–,72.6,221.11
228,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004241-4465-4339-16b1-4f6ec4d36f2a",WR,SR.,Elijhah,Badger,–,–,294,166,337,–,–,154,196,–,–,233,107,–,76.7,217.75
229,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004855-4445-0243-eb63-5696b6576e31",WR,SR.,Kobe,Hudson,–,–,222,106,246,228,–,312,221,–,–,226,–,–,58.2,217.75
230,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005354-4106-5527-dc9f-00887a740714",IDL,SR.,Nazir,Stackhouse,–,–,213,281,218,213,–,182,307,–,–,–,109,–,59.9,217.38
231,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004252-4948-5289-47c1-98e908bc92e7",IDL,SR.,Warren,Brinson,–,–,295,235,252,299,–,112,–,–,–,170,108,–,76.3,215.5
232,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005452-4112-2505-b7dc-b2db729a4dea",S,SR.,Dante,Trader Jr.,–,72,240,–,314,254,–,249,272,–,–,205,122,–,75.6,217.33
233,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200534d-4974-9940-3a14-992864afb3c2",IDL,SR.,Tim,Smith,–,233,328,278,221,178,–,195,167,–,–,–,–,–,53.5,230.25
234,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004544-5732-9231-65a3-395dc57c402e",RB,SR.,Donovan,Edwards,–,–,208,211,201,243,–,265,311,–,–,–,–,135,61,213.25
235,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200434f-4e79-7351-9839-b929b902168f",TE,SR.,Jalin,Conyers,161,180,380,236,294,187,–,240,215,–,–,–,–,–,67.4,239.56
236,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004c49-4e17-3885-2282-fec661cb7943",LB,SR.,Cody,Lindenberg,–,163,263,352,220,185,–,301,191,–,–,250,–,–,64,240.63
237,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d55-4841-9677-49de-8b56adc51213",CB,SR.,Jabbar,Muhammad,184,174,253,223,348,283,–,363,293,–,–,234,112,–,74.5,248
238,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005941-5257-1021-24b8-f8db01b4e097",RB,SR.,Marcus,Yarns,–,–,265,320,232,188,–,399,195,–,–,158,147,–,86.6,238
239,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d41-4620-7645-f1d0-28aa9410f815",RB,SR.,Phil,Mafah,–,94,228,215,309,300,–,347,265,–,–,–,–,143,85.2,228.33
240,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004352-4558-2702-40b8-e782ec28784b",OT,SR.,Brandon,Crenshaw-Dickson,–,–,202,222,254,227,–,299,143,–,–,–,–,–,54.9,234.86
241,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004449-5042-6541-4af4-81c86e4bbe43",TE,SR.,CJ,Dippre,–,–,249,145,313,245,–,221,233,–,–,248,–,–,49.7,236.29
242,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200484f-4f28-4822-38d2-0299cafc5b34",S,SR.,Maxen,Hook,154,–,212,342,240,231,–,232,–,–,–,148,–,–,64.7,222.71
243,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005745-4c70-5993-9d56-5f704d78aab7",WR,SR.,Antwane,Wells Jr.,–,–,198,350,267,233,–,392,214,–,–,153,121,–,87.7,245.44
244,https://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005748-4964-6827-9db0-b02505584697",WR,SR.,Ricky,White III,–,168,225,227,266,255,–,348,234,–,–,238,–,–,49.8,240
245,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004445-4c47-4675-5a61-c3c077c9d91e",OG,SR.,Garrett,Dellinger,198,–,297,283,382,224,–,229,266,–,–,210,120,–,75.1,236.2
246,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004b49-4e26-4267-f80f-d33f06568a74",RB,SR.,Corey,Kiner,–,–,244,137,304,261,–,324,223,–,–,–,–,142,74.3,222.5
247,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004153-4159-1338-75ed-2632b44597ed",LB,SR.,Eugene,Asante,–,–,430,241,176,211,–,175,267,–,–,–,143,–,88.8,234
248,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004a4f-4878-9994-e343-7e581fb19383",RB,SR.,Montrell,Johnson Jr.,–,–,299,316,310,270,–,208,251,–,–,–,136,141,73.1,250.44
249,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004352-4f39-0640-549c-50768e5c1613",RB,SR.,Jacory,Croskey-Merritt,–,–,282,191,231,–,–,109,243,–,–,–,–,–,74.7,230
250,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004144-4113-6851-1e3d-780596fb87e9",CB,SR.,Brandon,Adams,–,196,267,–,207,174,–,113,319,–,–,–,–,–,69.2,220.71
251,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004255-4322-1280-615f-e0ff6a162892",LB,SR.,Teddye,Buchanan,–,–,257,234,166,–,–,258,235,–,–,215,–,–,40.3,217.86
252,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004f4c-4923-3599-c80c-faf526d39877",LB,SR.,Collin,Oliver,–,–,293,182,282,–,–,131,310,–,–,173,–,–,70.9,222
253,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d45-4441-6416-6e8b-a8d19c8df397",LB,SR.,Kain,Medrano,175,–,219,269,283,293,–,242,263,–,–,239,–,–,38.2,243.33
254,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004252-4f12-4504-5440-e569c29bd2e7",WR,SR.,Ja'Corey,Brooks,–,195,241,369,242,221,–,339,318,–,–,80,–,–,87.6,245.67
255,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004841-5244-3362-13e7-7ec6e6017f6d",CB,SR.,Jermari,Harris,–,117,236,173,171,294,–,340,–,–,–,–,–,–,76.9,223.43
256,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005955-5256-4972-5754-21794b077719",TE,SR.,Ben,Yurosek,–,244,278,185,200,–,–,357,121,–,–,–,–,–,77.2,238.29
257,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200434f-4f01-2674-9f08-fe944758464a",QB,SR.,Brady,Cook,–,–,288,230,362,–,–,298,209,–,–,–,132,124,82.5,239.13
258,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005749-4c37-3988-fe19-1fab722959ac",OT,SR.,John,Williams,–,147,269,195,302,193,–,421,203,–,–,–,–,–,92.5,247.14
259,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004855-5a42-6541-cc25-ba07e83606bf",CB,SR.,Alijah,Huzzie,–,–,223,117,365,–,–,235,166,–,–,–,–,–,93.2,221.2
260,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004d41-5248-2067-2ee0-fe8041fabdd5",CB,SR.,Jason,Marshall Jr.,–,243,207,390,215,246,–,256,192,–,–,–,–,–,61.5,247.38
261,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200484f-5252-3584-ab9a-97d071865159",IDL,SR.,Cam,Horsley,–,–,247,292,216,256,–,205,240,–,–,–,–,–,31.8,237.14
262,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004152-4d09-9776-cb22-3c2f1bc274cd",WR,SR.,Andrew,Armstrong,–,132,296,277,332,–,–,214,180,–,–,–,–,–,70.1,234.86
263,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/3200544f-4920-7645-e159-c4e776b05152",IDL,SR.,Jay,Toia,173,–,203,317,189,234,–,308,330,–,–,–,–,–,67.5,240.63
264,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005452-5570-0783-7f4a-1d930cdb8cc6",OT,SR.,Xavier,Truss,–,–,298,286,297,198,–,213,270,–,–,221,–,–,55.7,240.88
265,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/3200484f-5243-0113-b082-05dae02c090e",WR,SR.,Jimmy,Horn Jr.,–,177,332,256,258,280,–,270,218,–,–,–,–,–,46.2,259.38
