Name,Role,type,coach_id
Sean Payton,"Asst. Defensive Line, Defensive Assistant/Interim Defensive Coordinator, Defensive Coordinator, Secondary",Worked For,AlleDe0
Dan Reeves,Defensive Quality Control,Worked For,AlleDe0
Doug Marrone,Offensive Line,Employed,AlleDe0
Al Saunders,Senior Offensive Assistant,Employed,AlleDe0
Tony Sparano,"Asst. Head Coach/Offensive Line, Asst. Head Coach/Offensive Line/Interim Head Coach",Employed,AlleDe0
Joe Gibbs,"Offensive Assistant, Offensive Assistant/WR, Quarterbacks",Worked For,BurnJa0
Dennis Green,"Offensive Coordinator, Offensive Coordinator/QB",Worked For,BurnJa0
Dan Reeves,"Passing Game Coordinator, Quarterbacks, Wide Receivers",Worked For,BurnJa0
Dom Capers,Outside Linebackers,Worked For,DaviBi0
Tom Coughlin,Linebackers,Worked For,DaviBi0
Bill Cowher,Defensive Assistant,Worked For,DaviBi0
Chip Kelly,Defensive Coordinator,Worked For,DaviBi0
Kliff Kingsbury,Linebackers,Worked For,DaviBi0
Mike Nolan,Defensive Coordinator,Worked For,DaviBi0
Chris Palmer,Defensive Assistant/LBs,Worked For,DaviBi0
Dan Reeves,Linebackers,Worked For,DaviBi0
DeMeco Ryans,Linebackers,Worked For,DaviBi0
Mike Sherman,Defensive Assistant/DLs,Worked For,DaviBi0
Pat Shurmur,Linebackers,Worked For,DaviBi0
Ken Whisenhunt,"Defensive Coordinator, Linebackers",Worked For,DaviBi0
Bill Belichick,Tight Ends,Worked For,MangPe0
Raheem Morris,Offensive Line,Worked For,MangPe0
Dan Reeves,"Offensive Coordinator, Offensive Line, Tight Ends",Worked For,MangPe0
Romeo Crennel,Defensive Backs,Worked For,ThomEm0
Joe Gibbs,"Secondary, Wide Receivers",Worked For,ThomEm0
Dennis Green,Defensive Coordinator,Worked For,ThomEm0
Todd Haley,Defensive Backs,Worked For,ThomEm0
Jim Hanifan,TE/WR,Worked For,ThomEm0
Jim Mora,Sr. Def. Asst./Secondary,Worked For,ThomEm0
Richie Petitbon,Secondary,Worked For,ThomEm0
Bobby Petrino,Defensive Backs/Interim Head Coach,Worked For,ThomEm0
Dan Reeves,Secondary,Worked For,ThomEm0
Andy Reid,Defensive Backs,Worked For,ThomEm0
Ray Rhodes,Defensive Coordinator,Worked For,ThomEm0
Mike Smith,Asst. Head Coach/Secondary,Worked For,ThomEm0
Norv Turner,Secondary,Worked For,ThomEm0
Jonathan Gannon,Defensive Quality Control,Employed,ThomEm0
Hue Jackson,Offensive Coordinator,Employed,ThomEm0
Jerry Rosburg,Special Teams Coordinator,Employed,ThomEm0
Mike Zimmer,Defensive Coordinator,Employed,ThomEm0
Dennis Green,"Offensive Coordinator, Offensive Coordinator/Tight Ends, Tight Ends",Worked For,BillBr0
Jack Del Rio,Linebackers,Employed,BillBr0
Vic Fangio,Linebackers,Employed,BillBr0
Jim Fassel,"Offensive Consultant, Offensive Coordinator",Employed,BillBr0
John Fassel,Asst. Special Teams Coach,Employed,BillBr0
Marvin Lewis,Defensive Coordinator,Employed,BillBr0
Mike Nolan,"Defensive Coordinator, Wide Receivers",Employed,BillBr0
Mike Pettine,"Asst. Defensive Line, Coaching Assistant, Outside Linebackers",Employed,BillBr0
Rex Ryan,"Defensive Coordinator, Defensive Line",Employed,BillBr0
Mike Singletary,Linebackers,Employed,BillBr0
Mike Smith,"Defensive Assistant/Defensive Line, Linebackers",Employed,BillBr0
Brian Billick,Offensive Coordinator,Worked For,CavaMa0
Jay Gruden,"Offensive Coordinator, Quarterbacks, Senior Offensive Asst.",Worked For,CavaMa0
Buddy Ryan,Quarterbacks,Worked For,CavaMa0
Rex Ryan,Quarterbacks,Worked For,CavaMa0
Robert Saleh,Senior Offensive Asst.,Worked For,CavaMa0
George Seifert,Quarterbacks,Worked For,CavaMa0
Marc Trestman,Quarterbacks,Worked For,CavaMa0
Dave Wannstedt,Offensive Coordinator,Worked For,CavaMa0
Brian Billick,"Defensive Coordinator, Wide Receivers",Worked For,NolaMi0
Al Groh,Defensive Coordinator,Worked For,NolaMi0
Mike McCarthy,Defensive Coordinator,Worked For,NolaMi0
Mike McCoy,Linebackers,Worked For,NolaMi0
Josh McDaniels,Defensive Coordinator,Worked For,NolaMi0
Sean Payton,Linebackers,Worked For,NolaMi0
Dan Reeves,"Defensive Coordinator, Special Teams/Linebackers",Worked For,NolaMi0
Mike Smith,Defensive Coordinator,Worked For,NolaMi0
Tony Sparano,Defensive Coordinator,Worked For,NolaMi0
Norv Turner,Defensive Coordinator,Worked For,NolaMi0
Adam Gase,Offensive Assistant,Employed,NolaMi0
Vance Joseph,"Asst. Defensive Backs, Defensive Backs",Employed,NolaMi0
Mike Martz,Offensive Coordinator,Employed,NolaMi0
Ben McAdoo,Asst. OL Coach/Quality Control,Employed,NolaMi0
Mike McCarthy,Offensive Coordinator,Employed,NolaMi0
Mike Singletary,"Assistant Head Coach/Linebackers, Interim Head Coach/Assistant Head Coach/LBs",Employed,NolaMi0
Jim Tomsula,Defensive Line,Employed,NolaMi0
Norv Turner,Offensive Coordinator,Employed,NolaMi0
Brian Billick,Offensive Line,Worked For,CollJi0
Rod Marinelli,"Offensive Coordinator, Offensive Line",Worked For,CollJi0
Brian Billick,"Asst. Defensive Backs, Defensive Backs",Worked For,HendDo0
Jack Del Rio,Defensive Backs,Worked For,HendDo0
Herm Edwards,Defensive Coordinator,Worked For,HendDo0
Rod Marinelli,Defensive Coordinator,Worked For,HendDo0
Doug Marrone,Defensive Backs,Worked For,HendDo0
Rex Ryan,Defensive Backs,Worked For,HendDo0
Ken Whisenhunt,Defensive Backs,Worked For,HendDo0
Brian Billick,"Asst. Defensive Line, Coaching Assistant, Outside Linebackers",Worked For,PettMi0
John Harbaugh,Outside Linebackers,Worked For,PettMi0
Matt LaFleur,Defensive Coordinator,Worked For,PettMi0
Doug Marrone,Defensive Coordinator,Worked For,PettMi0
Mike McCarthy,Defensive Coordinator,Worked For,PettMi0
Matt Nagy,Senior Def. Asst.,Worked For,PettMi0
Kevin O'Connell,Asst. Head Coach,Worked For,PettMi0
Rex Ryan,Defensive Coordinator,Worked For,PettMi0
Mike McDaniel,Wide Receivers,Employed,PettMi0
Kevin O'Connell,Quarterbacks,Employed,PettMi0
Kyle Shanahan,Offensive Coordinator,Employed,PettMi0
Chris Tabor,Special Teams Coordinator,Employed,PettMi0
Brian Billick,"Defensive Coordinator, Defensive Line",Worked For,RyanRe0
John Harbaugh,Defensive Coordinator/Assistant Head Coach,Worked For,RyanRe0
Buddy Ryan,"Defensive Line, Linebackers",Worked For,RyanRe0
Bill Callahan,Assistant Head Coach,Employed,RyanRe0
Aaron Kromer,Offensive Line,Employed,RyanRe0
Anthony Lynn,"Asst. Head Coach/Running Backs, Offensive Coordinator/Running Backs, Running Backs",Employed,RyanRe0
Marty Mornhinweg,Offensive Coordinator,Employed,RyanRe0
Chris Palmer,Sr. Offensive Assistant,Employed,RyanRe0
Mike Pettine,Defensive Coordinator,Employed,RyanRe0
Tony Sparano,Offensive Coordinator,Employed,RyanRe0
Brian Billick,"Defensive Assistant/Defensive Line, Linebackers",Worked For,SmitMi0
Jack Del Rio,Defensive Coordinator,Worked For,SmitMi0
Dirk Koetter,Defensive Coordinator,Worked For,SmitMi0
Dirk Koetter,Offensive Coordinator,Employed,SmitMi0
Mike Mularkey,Offensive Coordinator,Employed,SmitMi0
Mike Nolan,Defensive Coordinator,Employed,SmitMi0
Terry Robiskie,"Asst. Head Coach/Wide Receivers, Wide Receivers",Employed,SmitMi0
Emmitt Thomas,Asst. Head Coach/Secondary,Employed,SmitMi0
Mike Tice,Offensive Line,Employed,SmitMi0
Brian Billick,"Defensive Assistant, Secondary",Worked For,ThurDe0
Hank Kuhlmann,Secondary,Worked For,ThurDe0
Eric Mangini,Secondary,Worked For,ThurDe0
Rex Ryan,"Defensive Coordinator, Secondary",Worked For,ThurDe0
Gene Stallings,Secondary,Worked For,ThurDe0
Jack Del Rio,Assistant Head Coach/Defensive Coordinator,Worked For,WillGr0
Jeff Fisher,"Defensive Coordinator, Linebackers",Worked For,WillGr0
Adam Gase,Defensive Coordinator,Worked For,WillGr0
Joe Gibbs,Assistant Head Coach/Defensive Coordinator,Worked For,WillGr0
Hue Jackson,Defensive Coordinator,Worked For,WillGr0
Mike Munchak,Senior Defensive Assistant,Worked For,WillGr0
Jack Pardee,"Defensive Quality Control, Linebackers, Special Teams",Worked For,WillGr0
Sean Payton,Defensive Coordinator,Worked For,WillGr0
Kevin Gilbride,Offensive Coordinator,Employed,WillGr0
Todd Haley,Offensive Coordinator,Employed,WillGr0
Freddie Kitchens,Offensive Coordinator/Running Backs,Employed,WillGr0
Dick LeBeau,Assistant Head Coach,Employed,WillGr0
Les Steckel,Running Backs,Employed,WillGr0
Tom Coughlin,Offensive Coordinator,Worked For,GilbKe0
Bill Cowher,Offensive Coordinator,Worked For,GilbKe0
Jerry Glanville,Offensive Coordinator,Worked For,GilbKe0
Jack Pardee,Offensive Coordinator,Worked For,GilbKe0
Gregg Williams,Offensive Coordinator,Worked For,GilbKe0
Joe Bugel,Offensive Line,Employed,GilbKe0
Pete Carroll,Defensive Backs,Worked For,GrayJe0
Jeff Fisher,"Defensive Backs, Defensive Quality Control",Worked For,GrayJe0
Joe Gibbs,Secondary,Worked For,GrayJe0
Matt LaFleur,"Defensive Backs, Defensive Backs/Def. Passing Game Coordinator",Worked For,GrayJe0
Raheem Morris,Assistant HC/Defense,Worked For,GrayJe0
Mike Mularkey,Defensive Coordinator,Worked For,GrayJe0
Mike Munchak,Defensive Coordinator,Worked For,GrayJe0
Arthur Smith,Assistant HC/Defense,Worked For,GrayJe0
Gregg Williams,Defensive Coordinator,Worked For,GrayJe0
Mike Zimmer,Defensive Backs,Worked For,GrayJe0
Jim Zorn,Secondary,Worked For,GrayJe0
Dick Jauron,Offensive Coordinator,Worked For,FairSt0
Mike Martz,"Offensive Coordinator, Offensive Coordinator/QB",Worked For,FairSt0
Norv Turner,Offensive Assistant,Worked For,FairSt0
Gregg Williams,Running Backs,Worked For,FairSt0
Mike Ditka,Defensive Line,Worked For,LevrJo0
Dennis Green,Defensive Line,Worked For,LevrJo0
Bum Phillips,"Offensive Backs, Offensive Coordinator",Worked For,LevrJo0
Wade Phillips,Defensive Line,Worked For,LevrJo0
Gregg Williams,Defensive Line,Worked For,LevrJo0
Rich Brooks,Consultant,Worked For,FoxxJo0
Dan Campbell,Senior Defensive Asst.,Worked For,FoxxJo0
Jim Fassel,Defensive Coordinator,Worked For,FoxxJo0
Chuck Noll,Defensive Backs,Worked For,FoxxJo0
Frank Reich,Senior Defensive Asst.,Worked For,FoxxJo0
Bobby Ross,Defensive Backs,Worked For,FoxxJo0
Art Shell,Defensive Coordinator,Worked For,FoxxJo0
Mike White,Defensive Coordinator,Worked For,FoxxJo0
Dennis Allen,Defensive Coordinator,Employed,FoxxJo0
Brian Callahan,"Offensive Assistant, Offensive Quality Control",Employed,FoxxJo0
Jack Del Rio,Defensive Coordinator,Employed,FoxxJo0
Vic Fangio,Defensive Coordinator,Employed,FoxxJo0
Adam Gase,"Offensive Coordinator, Quarterbacks",Employed,FoxxJo0
Dan Henning,Offensive Coordinator,Employed,FoxxJo0
Mike McCoy,"Offensive Coordinator, QB/Passing Game Coord., Quarterbacks",Employed,FoxxJo0
Brandon Staley,Outside Linebackers,Employed,FoxxJo0
Eric Studesville,Running Backs,Employed,FoxxJo0
Richard Williamson,Wide Receivers,Employed,FoxxJo0
Wayne Fontes,Offensive Coordinator,Worked For,HennDa0
John Fox,Offensive Coordinator,Worked For,HennDa0
Joe Gibbs,"Offensive Assistant, Offensive Coordinator",Worked For,HennDa0
Al Groh,Offensive Coordinator,Worked For,HennDa0
Mike Holovak,QB/Receivers Coach,Worked For,HennDa0
Lou Holtz,QB/Receivers Coach,Worked For,HennDa0
Marv Levy,Offensive Coordinator,Worked For,HennDa0
Walt Michaels,QB/Receivers Coach,Worked For,HennDa0
Bill Parcells,Quarterbacks,Worked For,HennDa0
Bill Peterson,QB/Receivers Coach,Worked For,HennDa0
Don Shula,Quarterbacks,Worked For,HennDa0
Tony Sparano,Offensive Coordinator,Worked For,HennDa0
Fred Bruney,Defensive Backs,Employed,HennDa0
Marion Campbell,Defensive Coordinator,Employed,HennDa0
Jack Christiansen,Secondary,Employed,HennDa0
Gunther Cunningham,Defensive Line,Employed,HennDa0
Jim Mora,Defensive Backs,Employed,HennDa0
Brian Billick,Linebackers,Worked For,DelRJa0
Mike Ditka,Strength and Conditioning,Worked For,DelRJa0
John Fox,Defensive Coordinator,Worked For,DelRJa0
Ron Rivera,Defensive Coordinator,Worked For,DelRJa0
Dave Campo,Secondary,Employed,DelRJa0
Dirk Koetter,Offensive Coordinator,Employed,DelRJa0
Anthony Lynn,Running Backs,Employed,DelRJa0
Mike Smith,Defensive Coordinator,Employed,DelRJa0
Mike Tice,"Assistant Head Coach/Offense, Assistant Head Coach/Tight Ends, Offensive Line",Employed,DelRJa0
Mel Tucker,"Defensive Coordinator, Defensive Coordinator/Interim Head Coach, Offensive Coordinator",Employed,DelRJa0
Gregg Williams,Assistant Head Coach/Defensive Coordinator,Employed,DelRJa0
Dom Capers,Tight Ends,Worked For,BreaDo0
Pete Carroll,Tight Ends,Worked For,BreaDo0
John Fox,Tight Ends,Worked For,BreaDo0
Joe Gibbs,"Offensive Coordinator, Running Backs",Worked For,BreaDo0
Bill Peterson,Offensive Coordinator,Worked For,BreaDo0
Richie Petitbon,Running Backs,Worked For,BreaDo0
George Seifert,Tight Ends,Worked For,BreaDo0
John Fox,"Offensive Coordinator, QB/Passing Game Coord., Quarterbacks",Worked For,McCoMi1
Vance Joseph,Offensive Coordinator,Worked For,McCoMi1
Josh McDaniels,Offensive Coordinator,Worked For,McCoMi1
Doug Pederson,Quarterbacks,Worked For,McCoMi1
George Seifert,"Quarterbacks, Wide Receivers",Worked For,McCoMi1
Steve Wilks,Offensive Coordinator,Worked For,McCoMi1
Mike Nolan,Linebackers,Employed,McCoMi1
Frank Reich,"Offensive Coordinator, Quarterbacks",Employed,McCoMi1
Nick Sirianni,"Offensive Quality Control, Quarterbacks, Wide Receivers",Employed,McCoMi1
Giff Smith,Defensive Line,Employed,McCoMi1
Shane Steichen,"Offensive Quality Control, Quarterbacks",Employed,McCoMi1
Ken Whisenhunt,Offensive Coordinator,Employed,McCoMi1
Jim Fassel,"Offensive Coordinator, Running Backs",Worked For,SkipJi0
John Fox,Running Backs,Worked For,SkipJi0
Jim Mora,Running Backs,Worked For,SkipJi0
Mike Munchak,Running Backs,Worked For,SkipJi0
Ron Rivera,Running Backs,Worked For,SkipJi0
Vince Tobin,Running Backs,Worked For,SkipJi0
John Fox,"Defensive Coordinator, Defensive Line",Worked For,TrgoMi0
Jon Gruden,"Defensive Line, Senior Defensive Asst.",Worked For,TrgoMi0
Mike McCarthy,Defensive Line,Worked For,TrgoMi0
Ray Rhodes,Defensive Line,Worked For,TrgoMi0
Marty Schottenheimer,Defensive Line,Worked For,TrgoMi0
Norv Turner,Defensive Line,Worked For,TrgoMi0
Dom Capers,Wide Receivers,Worked For,WillRi0
John Fox,Wide Receivers,Worked For,WillRi0
John Mackovic,Wide Receivers,Worked For,WillRi0
Ray Perkins,Wide Receivers/AHC,Worked For,WillRi0
George Seifert,"Offensive Coordinator/WR, Wide Receivers",Worked For,WillRi0
David Shula,Wide Receivers,Worked For,WillRi0
Fred Bruney,Defensive Coordinator,Employed,WillRi0
Hank Kuhlmann,Offensive Coordinator,Employed,WillRi0
Tom Coughlin,Defensive Coordinator,Worked For,JaurDi0
Forrest Gregg,Defensive Backs,Worked For,JaurDi0
Mike Holmgren,Defensive Backs,Worked For,JaurDi0
Lindy Infante,Defensive Backs,Worked For,JaurDi0
Steve Mariucci,"Defensive Coordinator, Defensive Coordinator/Interim Head Coach",Worked For,JaurDi0
Andy Reid,Defensive Backs/Assistant Head Coach,Worked For,JaurDi0
Pat Shurmur,Defensive Coordinator,Worked For,JaurDi0
Kay Stephenson,Defensive Assistant,Worked For,JaurDi0
Perry Fewell,"Defensive Coordinator, Defensive Coordinator/Interim HC",Employed,JaurDi0
Adam Gase,Offensive Assistant,Employed,JaurDi0
Nathaniel Hackett,Offensive Quality Control,Employed,JaurDi0
Todd Haley,Wide Receivers,Employed,JaurDi0
Gary Moeller,Linebackers,Employed,JaurDi0
Eric Studesville,"Offensive Quality Control, Running Backs",Employed,JaurDi0
Dom Capers,"Offensive Quality Control, Quarterbacks",Worked For,ShooJo0
Jon Gruden,Quarterbacks,Worked For,ShooJo0
Dick Jauron,"Offensive Coordinator, Quarterbacks",Worked For,ShooJo0
Art Shell,Offensive Coordinator,Worked For,ShooJo0
Norv Turner,Quarterbacks,Worked For,ShooJo0
Joe Gibbs,Defensive Line,Worked For,BlacGr0
Mike Holmgren,Defensive Line,Worked For,BlacGr0
Lindy Infante,Defensive Line,Worked For,BlacGr0
Dick Jauron,Defensive Coordinator,Worked For,BlacGr0
Ted Marchibroda,Defensive Line,Worked For,BlacGr0
Jim Mora,Defensive Line,Worked For,BlacGr0
Jim Zorn,Defensive Coordinator,Worked For,BlacGr0
Tom Coughlin,Wide Receivers,Worked For,CarmPe1
Dick Jauron,Offensive Asst.,Worked For,CarmPe1
Chris Palmer,Offensive Coordinator,Worked For,CarmPe1
Al Groh,Wide Receivers,Worked For,HaleTo0
Hue Jackson,Offensive Coordinator,Worked For,HaleTo0
Dick Jauron,Wide Receivers,Worked For,HaleTo0
Bill Parcells,"Offensive Assistant/Quality Control, Wide Receivers, Wide Receivers/Passing Game Coordinator",Worked For,HaleTo0
Mike Tomlin,Offensive Coordinator,Worked For,HaleTo0
Ken Whisenhunt,Offensive Coordinator,Worked For,HaleTo0
Romeo Crennel,"Defensive Coordinator, Defensive Coordinator/Interim HC",Employed,HaleTo0
Nick Sirianni,"Asst. Quarterbacks, Offensive Quality Control",Employed,HaleTo0
Emmitt Thomas,Defensive Backs,Employed,HaleTo0
Jim Zorn,Quarterbacks,Employed,HaleTo0
Tom Coughlin,Defensive Coordinator,Worked For,MoelGa0
Dick Jauron,Linebackers,Worked For,MoelGa0
Bobby Ross,Linebackers,Worked For,MoelGa0
David Shula,Tight Ends,Worked For,MoelGa0
Jim Zorn,Quarterbacks,Employed,MoelGa0
Bruce Coslet,"Defensive Coordinator, Defensive Coordinator/Interim HC",Worked For,LeBeDi0
Bill Cowher,"Defensive Backs, Defensive Coordinator",Worked For,LeBeDi0
Forrest Gregg,Defensive Backs,Worked For,LeBeDi0
Mike McCormack,Special Teams,Worked For,LeBeDi0
Mike Mularkey,Asst. HC/Defensive Coordinator,Worked For,LeBeDi0
Bart Starr,Defensive Backs,Worked For,LeBeDi0
Mike Tomlin,Defensive Coordinator,Worked For,LeBeDi0
Ken Whisenhunt,Asst. HC/Defense,Worked For,LeBeDi0
Gregg Williams,Assistant Head Coach,Worked For,LeBeDi0
Sam Wyche,Defensive Coordinator,Worked For,LeBeDi0
Bill Cowher,Wide Receivers,Worked For,BratBo0
Dennis Erickson,Offensive Coordinator,Worked For,BratBo0
Tom Flores,Wide Receivers,Worked For,BratBo0
Dick LeBeau,Offensive Coordinator,Worked For,BratBo0
Marvin Lewis,"Offensive Coordinator, Special Assistant",Worked For,BratBo0
Mike Mularkey,"Offensive Coordinator, Wide Receivers",Worked For,BratBo0
Mike Smith,Quarterbacks,Worked For,BratBo0
Gus Bradley,Linebackers,Worked For,DuffMa0
Bruce Coslet,Linebackers,Worked For,DuffMa0
Jack Del Rio,Linebackers,Worked For,DuffMa0
Dirk Koetter,"Linebackers, Linebackers/Interim DC",Worked For,DuffMa0
Dick LeBeau,Defensive Coordinator,Worked For,DuffMa0
Mike Mularkey,Linebackers,Worked For,DuffMa0
Joe Philbin,Linebackers,Worked For,DuffMa0
Mike Sherman,Linebackers,Worked For,DuffMa0
Zac Taylor,Senior Defensive Asst.,Worked For,DuffMa0
Bruce Coslet,Offensive Coordinator,Worked For,AndeKe0
Jack Del Rio,Wide Receivers/Quarterbacks,Worked For,AndeKe0
Dick LeBeau,Quarterbacks,Worked For,AndeKe0
David Shula,"Offensive Coordinator, Quarterbacks",Worked For,AndeKe0
Mike Tomlin,Quarterbacks,Worked For,AndeKe0
Dick LeBeau,Secondary,Worked For,CoylKe0
Marvin Lewis,Secondary,Worked For,CoylKe0
Joe Philbin,Defensive Coordinator,Worked For,CoylKe0
Jimmy Johnson,"Defensive Coordinator/Linebackers, Defensive Line",Worked For,DaviBu0
Greg Schiano,Special Advisor,Worked For,DaviBu0
Barry Switzer,Defensive Coordinator/Linebackers,Worked For,DaviBu0
Bruce Arians,Offensive Coordinator,Employed,DaviBu0
Todd Bowles,"Secondary, Secondary (nickel package)",Employed,DaviBu0
Dave Campo,Defensive Coordinator,Employed,DaviBu0
Rob Chudzinski,Offensive Coordinator/Tight Ends,Employed,DaviBu0
Chuck Pagano,Secondary,Employed,DaviBu0
Terry Robiskie,"Offensive Coordinator/Interim HC, Wide Receivers",Employed,DaviBu0
Jerry Rosburg,Special Teams Coordinator,Employed,DaviBu0
Bill Cowher,Wide Receivers,Worked For,AriaBr0
Butch Davis,Offensive Coordinator,Worked For,AriaBr0
Jim Mora,"Quarterbacks, Tight Ends",Worked For,AriaBr0
Chuck Pagano,Offensive Coordinator/Interim Head Coach,Worked For,AriaBr0
Marty Schottenheimer,Running Backs,Worked For,AriaBr0
Mike Tomlin,Offensive Coordinator,Worked For,AriaBr0
Rick Venturi,Tight Ends,Worked For,AriaBr0
Todd Bowles,Defensive Coordinator,Employed,AriaBr0
Freddie Kitchens,"Quarterbacks, Running Backs",Employed,AriaBr0
Marion Campbell,Tight Ends/ST,Worked For,FaziFo0
Bruce Coslet,Linebackers,Worked For,FaziFo0
Butch Davis,Defensive Coordinator,Worked For,FaziFo0
Dennis Green,"Defensive Coordinator, Defensive Coordinator/LB",Worked For,FaziFo0
Norv Turner,Linebackers,Worked For,FaziFo0
Bruce Arians,Defensive Coordinator,Worked For,BowlTo0
Butch Davis,"Secondary, Secondary (nickel package)",Worked For,BowlTo0
Al Groh,Secondary,Worked For,BowlTo0
Bill Parcells,Secondary,Worked For,BowlTo0
Wade Phillips,Secondary,Worked For,BowlTo0
Andy Reid,Secondary/Interim Defensive Coordinator,Worked For,BowlTo0
Tony Sparano,"Asst. Head Coach/Interim Head Coach/Secondary, Asst. Head Coach/Secondary",Worked For,BowlTo0
Dan Campbell,Tight Ends,Employed,BowlTo0
Dave Canales,Offensive Coordinator,Employed,BowlTo0
Brian Daboll,Offensive Coordinator,Employed,BowlTo0
Chan Gailey,Offensive Coordinator,Employed,BowlTo0
Mike Nolan,Defensive Coordinator,Employed,BowlTo0
Bill Cowher,Linebackers,Worked For,ButlKe0
Butch Davis,Linebackers,Worked For,ButlKe0
Chris Palmer,Linebackers,Worked For,ButlKe0
Mike Tomlin,"Defensive Coordinator, Linebackers",Worked For,ButlKe0
