type,coach,coach_id,team_name,season,off_scheme,def_scheme
Defensive Coordinator,Mike Nolan,NolaMi0,Baltimore Ravens,2003,West Coast,3-4
Other Notable Asst.,Jim Colletto,CollJi0,Baltimore Ravens,2003,West Coast,3-4
Other Notable Asst.,Donnie Henderson,HendDo0,Baltimore Ravens,2003,West Coast,3-4
Other Notable Asst.,Mike Pettine,PettMi0,Baltimore Ravens,2003,West Coast,3-4
Other Notable Asst.,Rex Ryan,RyanRe0,Baltimore Ravens,2003,West Coast,3-4
Other Notable Asst.,Mike Singletary,SingMi0,Baltimore Ravens,2003,West Coast,3-4
Other Notable Asst.,Dennis Thurman,ThurDe0,Baltimore Ravens,2003,West Coast,3-4
Coach,Gregg Williams,WillGr0,Buffalo Bills,2003,Erhardt-Perkins,4-3
Offensive Coordinator,Kevin Gilbride,GilbKe0,Buffalo Bills,2003,Erhardt-Perkins,4-3
Defensive Coordinator,Jerry Gray,GrayJe0,Buffalo Bills,2003,Erhardt-Perkins,4-3
Other Notable Asst.,Don Blackmon,BlacDo0,Buffalo Bills,2003,Erhardt-Perkins,4-3
Other Notable Asst.,Dick LeBeau,LeBeDi0,Buffalo Bills,2003,Erhardt-Perkins,4-3
Other Notable Asst.,Les Steckel,StecLe0,Buffalo Bills,2003,Erhardt-Perkins,4-3
Coach,John Fox,FoxxJo0,Carolina Panthers,2003,Air Coryell,4-3
Offensive Coordinator,Dan Henning,HennDa0,Carolina Panthers,2003,Air Coryell,4-3
Defensive Coordinator,Mike Trgovac,TrgoMi0,Carolina Panthers,2003,Air Coryell,4-3
Other Notable Asst.,Ken Flajole,FlajKe0,Carolina Panthers,2003,Air Coryell,4-3
Other Notable Asst.,Mike McCoy,McCoMi1,Carolina Panthers,2003,Air Coryell,4-3
Other Notable Asst.,Jim Skipper,SkipJi0,Carolina Panthers,2003,Air Coryell,4-3
Other Notable Asst.,Richard Williamson,WillRi0,Carolina Panthers,2003,Air Coryell,4-3
Coach,Dick Jauron,JaurDi0,Chicago Bears,2003,NA,4-3
Offensive Coordinator,John Shoop,ShooJo0,Chicago Bears,2003,NA,4-3
Defensive Coordinator,Greg Blache,BlacGr0,Chicago Bears,2003,NA,4-3
Other Notable Asst.,Pete Carmichael,CarmPe1,Chicago Bears,2003,NA,4-3
Other Notable Asst.,Todd Haley,HaleTo0,Chicago Bears,2003,NA,4-3
Other Notable Asst.,Gary Moeller,MoelGa0,Chicago Bears,2003,NA,4-3
Other Notable Asst.,Greg Olson,OlsoGr0,Chicago Bears,2003,NA,4-3
Coach,Marvin Lewis,LewiMa0,Cincinnati Bengals,2003,Air Coryell,4-3
Offensive Coordinator,Bob Bratkowski,BratBo0,Cincinnati Bengals,2003,Air Coryell,4-3
Defensive Coordinator,Leslie Frazier,FrazLe0,Cincinnati Bengals,2003,Air Coryell,4-3
Other Notable Asst.,Kevin Coyle,CoylKe0,Cincinnati Bengals,2003,Air Coryell,4-3
Other Notable Asst.,Alex Wood,WoodAl0,Cincinnati Bengals,2003,Air Coryell,4-3
Other Notable Asst.,Ken Zampese,ZampKe0,Cincinnati Bengals,2003,Air Coryell,4-3
Coach,Butch Davis,DaviBu0,Cleveland Browns,2003,Air Coryell,4-3
Offensive Coordinator,Bruce Arians,AriaBr0,Cleveland Browns,2003,Air Coryell,4-3
Defensive Coordinator,Dave Campo,CampDa0,Cleveland Browns,2003,Air Coryell,4-3
Other Notable Asst.,Todd Bowles,BowlTo0,Cleveland Browns,2003,Air Coryell,4-3
Other Notable Asst.,Chuck Pagano,PagaCh0,Cleveland Browns,2003,Air Coryell,4-3
Other Notable Asst.,Andre Patterson,PattAn0,Cleveland Browns,2003,Air Coryell,4-3
Other Notable Asst.,Clancy Pendergast,PendCl0,Cleveland Browns,2003,Air Coryell,4-3
